Garage door,Well,Furnace,Kitchen,Barn,Living room,Home office,gen,Microwave,hour,Fridge,Dishwasher,dewPoint,use,time
0.013083333,0.001016667,0.082616667,0.000566667,0.03135,0.001516667,0.442633333,0.003483333,0.004066667,5,0.12415,3.33e-05,24.4,0.932833333,2016-01-01 05:00:00
0.013116667,0.001016667,0.0845333339999999,0.000566667,0.0315,0.00165,0.444066667,0.003466667,0.004066667,5,0.124,0.0,24.4,0.934333333,2016-01-01 05:01:00
0.013083333,0.001,0.083016667,0.0006167,0.031516667,0.00165,0.446066667,0.003466667,0.004066667,5,0.123533333,1.67e-05,24.4,0.931816667,2016-01-01 05:02:00
0.013,0.001016667,0.175416667,0.00065,0.0315,0.001616667,0.446583333,0.003483333,0.004066667,5,0.123133333,1.67e-05,24.4,1.02205,2016-01-01 05:03:00
0.012783333,0.001016667,0.300916666,0.000783333,0.0315,0.001583333,0.446533333,0.003466667,0.004066667,5,0.12285,0.000133333,24.4,1.1394,2016-01-01 05:04:00
0.012433333,0.001016667,0.566916667,0.00105,0.03145,0.001583333,0.447033333,0.003433333,0.004066667,5,0.1223,0.000283333,24.4,1.391866667,2016-01-01 05:05:00
0.012416667,0.001033333,0.5631166670000001,0.0010666669999999,0.03155,0.001533333,0.443266667,0.00345,0.004116667,5,0.12205,0.000283333,24.4,1.366216667,2016-01-01 05:06:00
0.01255,0.001033333,0.6565000000000001,0.000933333,0.031733333,0.00155,0.444283333,0.003416667,0.0042,5,0.1218,0.00025,24.4,1.4319,2016-01-01 05:07:00
0.012716667,0.001016667,0.81335,0.000783367,0.031766667,0.001566667,0.441466667,0.003416667,0.0042,5,0.121616667,0.000183333,24.4,1.6273,2016-01-01 05:08:00
0.01335,0.001016667,0.85405,0.000416667,0.031666667,0.001616667,0.438733333,0.003416667,0.0042,5,0.121633333,1.67e-05,24.4,1.735383333,2016-01-01 05:09:00
0.013583333,0.001,0.7008333330000001,0.000499967,0.031666667,0.001566667,0.4402,0.003416667,0.0042,5,0.12145,5e-05,24.4,1.585083333,2016-01-01 05:10:00
0.013533333,0.001,0.642633334,0.000433333,0.03175,0.001566667,0.43695,0.003433333,0.0042,5,0.12125,3.33e-05,24.4,1.510316667,2016-01-01 05:11:00
0.013516667,0.001,0.59935,0.000466667,0.031783333,0.001583333,0.43995,0.00345,0.004216667,5,0.121033333,5e-05,24.4,1.459866667,2016-01-01 05:12:00
